time_in_months,survival_probability
0.0,1.0
0.5042016806722689,1.0
1.0084033613445378,1.0
1.5126050420168067,1.0
2.0168067226890756,0.960529027422307
2.5210084033613445,0.960529027422307
3.0252100840336134,0.960529027422307
3.5294117647058822,0.9125385716024786
4.033613445378151,0.8750242056942134
4.53781512605042,0.8560656633249573
5.042016806722689,0.8292717660702712
5.546218487394958,0.8018239046560812
6.050420168067227,0.7799822699850503
6.554621848739496,0.7540740963404575
7.0588235294117645,0.7540740963404575
7.563025210084033,0.731702626567743
8.067226890756302,0.731702626567743
8.571428571428571,0.7090091003740772
9.07563025210084,0.7090091003740772
9.579831932773109,0.7090091003740772
10.084033613445378,0.6652683776019747
10.588235294117647,0.6652683776019747
11.092436974789916,0.6421293069226849
11.596638655462185,0.5815964635512911
12.100840336134453,0.5815964635512911
12.605042016806722,0.5645946301962824
13.109243697478991,0.5645946301962824
13.61344537815126,0.5645946301962824
14.117647058823529,0.5645946301962824
14.621848739495798,0.548607050452465
15.126050420168067,0.5308942500937632
15.630252100840336,0.4987861090961434
16.134453781512605,0.48054599253505825
16.63865546218487,0.44364944168444514
17.142857142857142,0.4286720509083818
17.647058823529413,0.4286720509083818
18.15126050420168,0.3976903390406171
18.655462184873947,0.3866696306976898
19.159663865546218,0.3866696306976898
19.66386554621849,0.36445714194682016
20.168067226890756,0.3370147040164751
20.672268907563023,0.296480958374809
21.176470588235293,0.28705875556100474
21.680672268907564,0.27839094515956747
22.18487394957983,0.27839094515956747
22.6890756302521,0.27839094515956747
23.19327731092437,0.27839094515956747
23.69747899159664,0.26931562436841644
24.201680672268907,0.24953820381939523
24.705882352941174,0.212557186528471
25.210084033613445,0.20306623606200844
25.714285714285715,0.20306623606200844
26.218487394957982,0.1959062227731407
26.72268907563025,0.1959062227731407
27.22689075630252,0.18919059278292033
27.73109243697479,0.1820203764130011
28.235294117647058,0.1740209297918707
28.739495798319325,0.1740209297918707
29.243697478991596,0.1589295414878238
29.747899159663866,0.15095965146200985
30.252100840336134,0.14315131948387835
30.7563025210084,0.12797041436197884
31.26050420168067,0.12797041436197884
31.764705882352942,0.12204930599699773
32.26890756302521,0.12204930599699773
32.773109243697476,0.12204930599699773
33.27731092436974,0.10464541630311842
33.78151260504202,0.10464541630311842
34.285714285714285,0.10464541630311842
34.78991596638655,0.10464541630311842
35.294117647058826,0.09902051981320818
35.79831932773109,0.09352475173269385
36.30252100840336,0.08808475089497708
36.80672268907563,0.08808475089497708
37.310924369747895,0.08808475089497708
37.81512605042017,0.08808475089497708
38.319327731092436,0.08808475089497708
38.8235294117647,0.08808475089497708
39.32773109243698,0.08319088375931855
39.831932773109244,0.08319088375931855
40.33613445378151,0.08319088375931855
40.84033613445378,0.08319088375931855
41.344537815126046,0.07679623286390602
41.84873949579832,0.07679623286390602
42.35294117647059,0.0690462211300787
42.857142857142854,0.0645419927577955
43.36134453781513,0.05321597274227862
43.865546218487395,0.05321597274227862
44.36974789915966,0.05321597274227862
44.87394957983193,0.05321597274227862
45.3781512605042,0.05321597274227862
45.88235294117647,0.05321597274227862
46.38655462184874,0.05321597274227862
46.890756302521005,0.05321597274227862
47.39495798319328,0.04688052555406077
47.89915966386555,0.04688052555406077
48.403361344537814,0.04294867113641494
48.90756302521008,0.04010438635614033
49.41176470588235,0.04010438635614033
49.91596638655462,0.04010438635614033
50.42016806722689,0.03643721888562066
50.924369747899156,0.03643721888562066
51.42857142857143,0.03643721888562066
51.9327731092437,0.03643721888562066
52.436974789915965,0.03643721888562066
52.94117647058823,0.03643721888562066
53.4453781512605,0.03643721888562066
53.94957983193277,0.03643721888562066
54.45378151260504,0.03643721888562066
54.95798319327731,0.03288922937172988
55.46218487394958,0.03288922937172988
55.96638655462185,0.03288922937172988
56.470588235294116,0.03288922937172988
56.97478991596638,0.03288922937172988
57.47899159663865,0.03288922937172988
57.983193277310924,0.03288922937172988
58.48739495798319,0.03288922937172988
58.99159663865546,0.03288922937172988
59.49579831932773,0.03288922937172988
60.0,0.027449614958847613
